page_index,mode,predicted_label,predicted_label_image,predicted_label_fused,predicted_label_text,predicted_label_base,text_source,query_text_kind,text_chars,text_empty,vlm_keywords_snippet,top1_score,top1_label_by_score,top2_score,margin_top1_top2,margin_norm,z_gap_top1_top2,other_triggered,other_triggered_top1,other_triggered_margin_norm,other_min_margin_norm,other_threshold,label_score_agg,label_score_topk,score_style,fused_giay_gui_tien_tiet_kiem,fused_the_tiet_kiem_ban_sao,fused_to_trinh_uu_dai_lai_suat,fused_giay_to_chung_minh_cu_tru,fused_so_quy,fused_liet_ke_giao_dich,fused_giay_de_nghi_tiep_quy,fused_giay_rut_tien,fused_giay_nop_chuyen_tien,fused_giay_de_nghi_hoan_quy,img_giay_gui_tien_tiet_kiem,img_the_tiet_kiem_ban_sao,img_to_trinh_uu_dai_lai_suat,img_giay_to_chung_minh_cu_tru,img_so_quy,img_liet_ke_giao_dich,img_giay_de_nghi_tiep_quy,img_giay_rut_tien,img_giay_nop_chuyen_tien,img_giay_de_nghi_hoan_quy,txt_giay_gui_tien_tiet_kiem,txt_the_tiet_kiem_ban_sao,txt_to_trinh_uu_dai_lai_suat,txt_giay_to_chung_minh_cu_tru,txt_so_quy,txt_liet_ke_giao_dich,txt_giay_de_nghi_tiep_quy,txt_giay_rut_tien,txt_giay_nop_chuyen_tien,txt_giay_de_nghi_hoan_quy,prob_giay_gui_tien_tiet_kiem,prob_the_tiet_kiem_ban_sao,prob_to_trinh_uu_dai_lai_suat,prob_giay_to_chung_minh_cu_tru,prob_so_quy,prob_liet_ke_giao_dich,prob_giay_de_nghi_tiep_quy,prob_giay_rut_tien,prob_giay_nop_chuyen_tien,prob_giay_de_nghi_hoan_quy
0,fused,liet_ke_giao_dich,liet_ke_giao_dich,liet_ke_giao_dich,liet_ke_giao_dich,liet_ke_giao_dich,empty,vlm_keywords,0,True,"LỊET KÊ GIAO DỊCH, Ngân hàng, Giao dịch, Tài khoản, Flex ID",0.80381,liet_ke_giao_dich,0.703118,0.100692,0.418244,1.725846,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.666676,0.675576,0.637327,0.563061,0.703118,0.80381,0.632812,0.671925,0.672527,0.634687,0.5817,0.5951,0.5325,0.4603,0.6343,0.7603,0.5492,0.5882,0.5833,0.5493,0.865,0.8632,0.882,0.8028,0.8637,0.9054,0.8278,0.8672,0.8807,0.8338,0.09988,0.100773,0.096991,0.090049,0.103587,0.11456,0.096554,0.100405,0.100466,0.096735
1,fused,other,liet_ke_giao_dich,liet_ke_giao_dich,liet_ke_giao_dich,liet_ke_giao_dich,empty,vlm_keywords,0,True,"Form, giao dịch, tài khoản, số tiền, ngày giao",0.786725,liet_ke_giao_dich,0.705828,0.080897,0.372055,1.487889,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.663838,0.676315,0.626959,0.569292,0.705828,0.786725,0.623844,0.662846,0.67168,0.639473,0.5757,0.5881,0.5165,0.462,0.6259,0.721,0.5393,0.5764,0.5715,0.5351,0.8694,0.8821,0.8847,0.8196,0.8924,0.94,0.8211,0.8645,0.9054,0.883,0.099966,0.101221,0.096347,0.090948,0.104253,0.113037,0.096047,0.099867,0.100753,0.09756
2,fused,so_quy,so_quy,so_quy,liet_ke_giao_dich,so_quy,empty,vlm_keywords,0,True,"Sổ quỹ, Ngân hàng, giao dịch, tài khoản, chi tiết giao dịch",0.822847,so_quy,0.759048,0.063799,0.267948,1.081013,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.701383,0.714994,0.666764,0.584745,0.822847,0.759048,0.671307,0.702745,0.704766,0.671996,0.6177,0.6365,0.5634,0.4975,0.7802,0.6849,0.5888,0.619,0.6114,0.5889,0.8967,0.8981,0.908,0.7883,0.9223,0.9322,0.8638,0.8982,0.9226,0.8658,0.099957,0.101327,0.096556,0.088953,0.112867,0.105891,0.096996,0.100094,0.100296,0.097063
3,fused,other,so_quy,so_quy,so_quy,so_quy,empty,vlm_keywords,0,True,"Tờ trình, chứng minh cư trú",0.659599,so_quy,0.622947,0.036652,0.477942,1.782355,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.613483,0.622947,0.599544,0.611162,0.659599,0.593862,0.613279,0.592039,0.582912,0.596925,0.5147,0.5392,0.5067,0.5421,0.5519,0.5202,0.5438,0.5169,0.5053,0.5289,0.8439,0.8184,0.8162,0.7724,0.9109,0.7657,0.7755,0.7674,0.7639,0.7557,0.100471,0.101426,0.09908,0.100238,0.105212,0.098518,0.10045,0.098339,0.097446,0.098821
4,fused,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,empty,vlm_keywords,0,True,"Giấy đề nghị tiếp quỹ, ngân hàng, giao dịch",0.921139,giay_de_nghi_tiep_quy,0.87776,0.043379,0.115196,0.433761,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.7243,0.718507,0.706929,0.544575,0.685637,0.663166,0.921139,0.738195,0.740224,0.87776,0.6541,0.6536,0.6252,0.453,0.6147,0.589,0.8874,0.6791,0.6796,0.8613,0.888,0.87,0.8976,0.7583,0.8511,0.8362,1.0,0.8761,0.8817,0.9163,0.098729,0.098159,0.097029,0.082488,0.094985,0.092874,0.120207,0.10011,0.100314,0.115104
5,fused,other,giay_de_nghi_tiep_quy,giay_de_nghi_hoan_quy,giay_gui_tien_tiet_kiem,giay_de_nghi_hoan_quy,empty,vlm_keywords,0,True,"Bảng kê, giao nhận, ký nhận",0.828028,giay_de_nghi_hoan_quy,0.824509,0.003519,0.012662,0.046909,True,False,True,0.08,0.8,topk_mean,3,intrinsic,0.750603,0.71698,0.668195,0.550087,0.705855,0.698627,0.824509,0.73965,0.73335,0.828028,0.6965,0.6604,0.607,0.4643,0.6579,0.6536,0.8165,0.7038,0.6854,0.8104,0.8768,0.8491,0.8109,0.7503,0.8178,0.8037,0.8431,0.8232,0.8452,0.8692,0.10266,0.099265,0.094539,0.084007,0.098167,0.09746,0.110534,0.101541,0.100904,0.110924
6,fused,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,empty,vlm_keywords,0,True,"Giấy rút tiền, ngân hàng, chi tiết giao dịch, xác nhận, ký tên",0.908062,giay_rut_tien,0.854085,0.053977,0.173405,0.645503,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.792314,0.752401,0.704067,0.596781,0.690783,0.701681,0.72469,0.908062,0.854085,0.728547,0.7293,0.679,0.6195,0.5075,0.6093,0.6222,0.6593,0.8706,0.8145,0.6652,0.9393,0.9236,0.9015,0.8052,0.8809,0.8871,0.8773,0.9954,0.9464,0.8764,0.10444,0.100354,0.095618,0.085891,0.094357,0.095391,0.097611,0.117256,0.111095,0.097988
7,fused,other,giay_de_nghi_tiep_quy,so_quy,so_quy,so_quy,empty,vlm_keywords,0,True,"Tờ trình, xác nhận, giấy tờ hành chính",0.668773,so_quy,0.661369,0.007404,0.131034,0.400624,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.621997,0.661369,0.612269,0.622944,0.668773,0.618684,0.644369,0.624549,0.619543,0.642886,0.5274,0.5751,0.5026,0.5411,0.563,0.5199,0.577,0.5434,0.5378,0.568,0.8427,0.8626,0.8681,0.8138,0.9155,0.8493,0.8015,0.8138,0.8103,0.8176,0.098816,0.102784,0.097859,0.098909,0.103548,0.098489,0.101051,0.099068,0.098574,0.100902
8,fused,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,empty,vlm_keywords,0,True,"Giấy đề nghị tiếp quỹ, ngân hàng, giao dịch",0.925353,giay_de_nghi_tiep_quy,0.880583,0.04477,0.117241,0.441751,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.726175,0.717258,0.710733,0.54349,0.685433,0.662943,0.925353,0.737752,0.738775,0.880583,0.6568,0.6518,0.6306,0.4514,0.6144,0.5887,0.8934,0.6785,0.6775,0.8653,0.888,0.87,0.8976,0.7583,0.8511,0.8362,1.0,0.8761,0.8817,0.9163,0.098821,0.097944,0.097307,0.082321,0.094876,0.092766,0.120601,0.099972,0.100074,0.115321
9,fused,other,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_nop_chuyen_tien,giay_de_nghi_tiep_quy,empty,vlm_keywords,0,True,"Bên giao, bên nhận, ký tên, chữ ký, số tiền",0.873928,giay_de_nghi_tiep_quy,0.8688,0.005128,0.018124,0.066826,True,False,True,0.08,0.8,topk_mean,3,intrinsic,0.759641,0.755095,0.708832,0.59099,0.71611,0.719062,0.873928,0.76196,0.758991,0.8688,0.7136,0.7097,0.6507,0.5015,0.6703,0.6675,0.8934,0.7163,0.7093,0.8856,0.8672,0.861,0.8444,0.7998,0.8231,0.8393,0.8285,0.8686,0.875,0.8297,0.100538,0.100082,0.095558,0.084935,0.096256,0.09654,0.112711,0.100772,0.100473,0.112134
